venue_name,street,neighborhood_hint,website,scrape_allowed,robots_url,google_maps,search_query,note
Smooth Monkey,1801 Commonwealth Avenue,28205,https://www.smooth-monkey.net,false,https://www.smooth-monkey.net/robots.txt,https://www.google.com/maps/search/?api=1&query=Smooth%20Monkey%201801%20Commonwealth%20Avenue%20Charlotte%20NC,"Smooth Monkey 1801 Commonwealth Avenue Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Jackalope Jacks,,,,,,https://www.google.com/maps/search/?api=1&query=Jackalope%20Jacks%20%20Charlotte%20NC,"Jackalope Jacks  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Burial Beer Co.,,,https://burialbeer.com,false,https://burialbeer.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Burial%20Beer%20Co.%20%20Charlotte%20NC,"Burial Beer Co.  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Cilantro Noodle,,,,,,https://www.google.com/maps/search/?api=1&query=Cilantro%20Noodle%20%20Charlotte%20NC,"Cilantro Noodle  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Ocha Time,,,,,,https://www.google.com/maps/search/?api=1&query=Ocha%20Time%20%20Charlotte%20NC,"Ocha Time  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
SouthBound,,,https://eatsouthbound.com,false,https://eatsouthbound.com/robots.txt,https://www.google.com/maps/search/?api=1&query=SouthBound%20%20Charlotte%20NC,"SouthBound  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Merchant & Trade,,,,,,https://www.google.com/maps/search/?api=1&query=Merchant%20%26%20Trade%20%20Charlotte%20NC,"Merchant & Trade  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Angeline's,,,,,,https://www.google.com/maps/search/?api=1&query=Angeline's%20%20Charlotte%20NC,"Angeline's  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Waterbean Coffee,,,https://www.waterbean.coffee,false,https://www.waterbean.coffee/robots.txt,https://www.google.com/maps/search/?api=1&query=Waterbean%20Coffee%20423%20East%2036th%20Street%20Charlotte%20NC,"Waterbean Coffee 423 East 36th Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
The Flying Saucer,9605 North Tryon Street,28262,,,,https://www.google.com/maps/search/?api=1&query=The%20Flying%20Saucer%209605%20North%20Tryon%20Street%20Charlotte%20NC,"The Flying Saucer 9605 North Tryon Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Açaí Bowl Smoothie,,,,,,https://www.google.com/maps/search/?api=1&query=A%C3%A7a%C3%AD%20Bowl%20Smoothie%20%20Charlotte%20NC,"Açaí Bowl Smoothie  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Mezeh,,,,,,https://www.google.com/maps/search/?api=1&query=Mezeh%20%20Charlotte%20NC,"Mezeh  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
